Name,ShriekDPS,ShriekHPS,ShriekDT,ShriekDPSParse,ShriekDPSIlvlParse,ShriekHPSParse,ShriekHPSIlvlParse,ShriekDeaths,ShriekFlask,ShriekFood,ShriekPot,ShriekSpace,HuntsmanDPS,HuntsmanHPS,HuntsmanDT,HuntsmanDPSParse,HuntsmanDPSIlvlParse,HuntsmanHPSParse,HuntsmanHPSIlvlParse,HuntsmanDeaths,HuntsmanFlask,HuntsmanFood,HuntsmanPot,HuntsmanSpace,HungeringDPS,HungeringHPS,HungeringDT,HungeringDPSParse,HungeringDPSIlvlParse,HungeringHPSParse,HungeringHPSIlvlParse,HungeringDeaths,HungeringFlask,HungeringFood,HungeringPot,HungeringSpace,InervaDPS,InervaHPS,InervaDT,InervaDPSParse,InervaDPSIlvlParse,InervaHPSParse,InervaHPSIlvlParse,InervaDeaths,InervaFlask,InervaFood,InervaPot,InvervaSpace,ArtificerDPS,ArtificerHPS,ArtificerDT,ArtificerDPSParse,ArtificerDPSIlvlParse,ArtificerHPSParse,ArtificerHPSIlvlParse,ArtificerDeaths,ArtificerFlask,ArtificerFood,ArtificerPot,ArtificerSpace,SunKingDPS,SunKingHPS,SunKingDT,SunKingDPSParse,SunKingDPSIlvlParse,SunKingHPSParse,SunKingHPSIlvlParse,SunKingDeaths,SunKingFlask,SunKingFood,SunKingPot,SunKingSpace,CouncilDPS,CouncilHPS,CouncilDT,CouncilDPSParse,CouncilDPSIlvlParse,CouncilHPSParse,CouncilHPSIlvlParse,CouncilDeaths,CouncilFlask,CouncilFood,CouncilPot,CouncilSpace,SludgeDPS,SludgeHPS,SludgeDT,SludgeDPSParse,SludgeDPSIlvlParse,SludgeHPSParse,SludgeHPSIlvlParse,SludgeDeaths,SludgeFlask,SludgeFood,SludgePot,SludgeSpace,StoneLegionDPS,StoneLegionHPS,StoneLegionDT,StoneLegionDPSParse,StoneLegionDPSIlvlParse,StoneLegionHPSParse,StoneLegionHPSIlvlParse,StoneLegionDeaths,StoneLegionFlask,StoneLegionFood,StoneLegionPot,StoneLegionSpace,SireDPS,SireHPS,SireDT,SireDPSParse,SireDPSIlvlParse,SireHPSParse,SireHPSIlvlParse,SireDeaths,SireFlask,SireFood,SirePot
Antelope,684,3930,677,97,83,86,59,,,,,,889,4860,595,97,85,70,39,,,,,,427,6210,1386,96,87,85,58,,,,,,553,6987,1194,95,84,85,57,,,,,,679,4962,951,97,90,74,46,,,,,,224,7422,962,91,81,96,77,,,,,,362,4855,1183,95,84,69,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gruyere,170,2625,835,64,46,25,11,,,,,,433,4041,780,83,73,27,12,,,,,,249,4880,1479,79,70,47,24,,,,,,287,5000,1352,63,58,24,15,,,,,,415,3208,1377,82,77,14,9,,,,,,142,5461,859,42,41,64,48,,,,,,232,2412,1010,66,60,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joeronin,99,3803,1043,55,58,82,85,,,,,,,4519,895,,,42,45,,,,,,,4679,1322,,,33,37,,,,,,,6246,1261,,,62,73,,,,,,24,2250,848,32,33,6,6,,,,,,7,4428,1051,37,38,17,17,,,,,,22,4383,1097,35,37,50,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direcrest,,,,,,,,,,,,,4386,751,1902,66,76,94,93,,,,,,3618,583,1764,80,90,34,33,,,,,,4223,737,1296,65,79,89,86,,,,,,2219,113,1112,15,15,31,28,,,,,,2463,412,620,8,8,51,53,,,,,,2445,349,1159,37,49,66,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qenan,,,,,,,,,,,,,961,5229,1002,53,35,79,64,,,,,,748,5899,1760,50,35,82,72,,,,,,773,6090,1479,27,19,69,57,,,,,,754,4781,1090,37,26,69,57,,,,,,371,7946,1221,40,35,95,93,,,,,,657,5009,1160,64,59,90,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ripped Soul,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capzielor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4119,149,1139,31,36,37,35,,,,,,1305,18,420,4,4,2,2,,,,,,3623,187,1204,27,30,69,70,,,,,,1305,93,1206,6,7,27,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artificer Xy'mox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2246,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Essence Font,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2064,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
